Country,Happiness,GDPCAPLOG,LifeChoiceFreedom
Finland,7.808700085,10.63926697,0.949172199
Denmark,7.645599842,10.77400112,0.951444268
Switzerland,7.559899807,10.97993279,0.921336651
Iceland,7.504499912,10.77255917,0.948891878
Norway,7.487999916,11.08780384,0.955750287
Netherlands,7.448900223,10.81271172,0.908547819
Sweden,7.353499889,10.75879383,0.939144194
New Zealand,7.299600124,10.50094318,0.936217487
Austria,7.294199944,10.7428236,0.899989486
Luxembourg,7.237500191,11.45068073,0.90563643
Canada,7.23210001,10.69236851,0.933913231
Australia,7.222799778,10.72059631,0.915431738
United Kingdom,7.164500237,10.60013485,0.834743679
Israel,7.128600121,10.41752529,0.747580588
Costa Rica,7.121399879,9.658156395,0.934738934
Ireland,7.093699932,11.16097832,0.886982977
Germany,7.075799942,10.7328186,0.867371082
United States,6.939599991,10.92576885,0.842619538
Czech Republic,6.910900116,10.40416336,0.818537354
Belgium,6.863500118,10.6736393,0.813582063
United Arab Emirates,6.790800095,11.1099987,0.941345513
Malta,6.772799969,10.53383827,0.924911439
France,6.663799763,10.58422279,0.825467646
Mexico,6.465000153,9.797797203,0.858709276
Taiwan Province of China,6.45539999,10.77568531,0.77153033
Uruguay,6.440100193,9.948192596,0.892395437
Saudi Arabia,6.406499863,10.79781246,0.854191244
Spain,6.400899887,10.46292686,0.751989543
Guatemala,6.398900032,8.924805641,0.908147573
Italy,6.38740015,10.48183632,0.66465199
Singapore,6.377099991,11.39552116,0.926645339
Brazil,6.375599861,9.56643486,0.799804807
Slovenia,6.363399982,10.39232254,0.936142623
El Salvador,6.34829998,8.909075737,0.833805263
Kosovo,6.325200081,9.204429626,0.861535907
Panama,6.304800034,10.03423405,0.880366504
Slovakia,6.280600071,10.34774971,0.749952674
Uzbekistan,6.257599831,8.740371704,0.974998116
Chile,6.228499889,10.0320549,0.744896293
Bahrain,6.227300167,10.67638016,0.905855775
Lithuania,6.215499878,10.34362602,0.747381449
Trinidad and Tobago,6.191899776,10.26000214,0.857907116
Poland,6.186299801,10.26512432,0.862055779
Colombia,6.163400173,9.500369072,0.836179912
Cyprus,6.15899992,10.40570259,0.779858291
Nicaragua,6.13710022,8.493160248,0.863902867
Romania,6.123700142,10.107584,0.842823207
Kuwait,6.102099895,11.08982468,0.872366488
Mauritius,6.101299763,9.956786156,0.889534533
Kazakhstan,6.057899952,10.11465836,0.811601937
Estonia,6.021800041,10.34001732,0.87770915
Philippines,6.006000042,8.993545532,0.915463448
Hungary,6.000400066,10.24924374,0.718964577
Thailand,5.998799801,9.741791725,0.905063033
Argentina,5.974699974,9.810955048,0.831132412
Honduras,5.953199863,8.424534798,0.870603263
Latvia,5.949999809,10.17531967,0.671237648
Ecuador,5.925199986,9.246058464,0.859828949
Portugal,5.910900116,10.26374245,0.888747811
Jamaica,5.889800072,9.006250381,0.858068526
South Korea,5.872399807,10.51056671,0.612965107
Japan,5.870800018,10.57968903,0.809961379
Peru,5.796800137,9.456313133,0.824766099
Serbia,5.77820015,9.680980682,0.726495862
Bolivia,5.747499943,8.851115227,0.875873327
Pakistan,5.69329977,8.482727051,0.734833717
Paraguay,5.692100048,9.389982224,0.885923445
Dominican Republic,5.689199924,9.664880753,0.866202772
Bosnia and Herzegovina,5.674099922,9.455817223,0.651352704
Moldova,5.607500076,8.776714325,0.721609175
Tajikistan,5.555699825,8.024810791,0.831383407
Montenegro,5.54610014,9.751860619,0.649565637
Russia,5.546000004,10.12887192,0.729892612
Kyrgyzstan,5.541500092,8.148405075,0.909374893
Belarus,5.539899826,9.779945374,0.639163077
North Cyprus,5.53550005,10.40570259,0.79529351
Greece,5.514999866,10.13232613,0.541345119
Hong Kong S.A.R. of China,5.510399818,10.9346714,0.779833794
Croatia,5.504700184,10.07087517,0.714838803
Libya,5.488800049,9.789815903,0.773157001
Mongolia,5.456200123,9.412186623,0.693351328
Malaysia,5.384300232,10.26251888,0.894626856
Vietnam,5.353499889,8.809545517,0.939592957
Indonesia,5.285600185,9.36975193,0.870614409
Ivory Coast,5.233300209,8.225561142,0.727909327
Benin,5.21600008,7.674319744,0.735182583
Maldives,5.197599888,9.518632889,0.853962779
Congo (Brazzaville),5.194399834,8.536987305,0.719058514
Azerbaijan,5.164800167,9.687726974,0.786824107
Macedonia,5.159800053,9.510591507,0.738840938
Ghana,5.147999763,8.350645065,0.794796526
Nepal,5.137199879,7.925357342,0.797565043
Turkey,5.131800175,10.12941933,0.608830452
China,5.123899937,9.688568115,0.898517907
Turkmenistan,5.119100094,9.74803257,0.826457024
Bulgaria,5.101500034,9.869318962,0.745178163
Morocco,5.094799995,8.940313339,0.772072434
Cameroon,5.084899902,8.118647575,0.763051808
Venezuela,5.053199768,8.977793694,0.62327832
Algeria,5.005099773,9.537964821,0.466610909
Senegal,4.980800152,8.118982315,0.690596163
Guinea,4.949299812,7.750990391,0.706846774
Niger,4.909599781,6.842166901,0.759772122
Laos,4.888599873,8.79858017,0.907213569
Albania,4.882699966,9.417930603,0.781994224
Cambodia,4.848400116,8.249890327,0.959704638
Bangladesh,4.832799911,8.287063599,0.90062499
Gabon,4.829299927,9.680537224,0.704829216
South Africa,4.814099789,9.403370857,0.759330094
Iraq,4.784800053,9.661095619,0.633182645
Lebanon,4.771500111,9.3617239,0.551357508
Burkina Faso,4.768700123,7.46854496,0.665563583
Gambia,4.750599861,7.321814537,0.733163178
Mali,4.729300022,7.629852295,0.71156615
Nigeria,4.724100113,8.57662487,0.759578407
Armenia,4.676799774,9.100476265,0.712017834
Georgia,4.672599792,9.226100922,0.801641524
Iran,4.672399998,9.813719749,0.647873282
Jordan,4.633399963,9.025999069,0.75104779
Mozambique,4.623600006,7.069345951,0.864451885
Kenya,4.583000183,8.02977562,0.829747558
Namibia,4.571100235,9.203141212,0.767520964
Ukraine,4.56069994,9.010690689,0.663081884
Liberia,4.557899952,7.054380417,0.735268712
Palestinian Territories,4.552800179,8.389223099,0.645791829
Uganda,4.43200016,7.500389576,0.731713951
Chad,4.422699928,7.467963696,0.587305248
Tunisia,4.392199993,9.314972878,0.593361557
Mauritania,4.374599934,8.233919144,0.551522553
Sri Lanka,4.327000141,9.389969826,0.837633669
Congo (Kinshasa),4.31099987,6.694256306,0.700793564
Swaziland,4.308100224,9.16267395,0.646822274
Myanmar,4.308000088,8.680481911,0.895075202
Comoros,4.288599968,7.833630085,0.547612607
Togo,4.187200069,7.357711315,0.649828613
Ethiopia,4.186200142,7.509385586,0.740795195
Madagascar,4.165599823,7.281685829,0.557574093
Egypt,4.151400089,9.316541672,0.708354175
Sierra Leone,3.926399946,7.26880312,0.715315044
Burundi,3.775300026,6.492642403,0.626350224
Zambia,3.759399891,8.224720001,0.806500256
Haiti,3.720799923,7.411329269,0.537825167
Lesotho,3.652800083,7.960488319,0.738125861
India,3.573299885,8.849823952,0.881444871
Malawi,3.538000107,7.062226295,0.803223193
Yemen,3.527400017,7.759682655,0.599920273
Botswana,3.478899956,9.711203575,0.821328104
Tanzania,3.476200104,7.967665195,0.82153976
Central African Republic,3.475899935,6.625160217,0.640880644
Rwanda,3.312299967,7.600104332,0.900589406
Zimbabwe,3.299200058,7.865711689,0.711457908
South Sudan,2.816600084,7.425359726,0.451313615
Afghanistan,2.566900015,7.462860584,0.396573007
