metric,value
Happiness,7.808700085
GDPCAPLOG,10.63926697
LifeChoiceFreedom,0.949172199
SocialSupport,0.954329729
Corruption,0.195444584
Happiness,7.645599842
GDPCAPLOG,10.77400112
LifeChoiceFreedom,0.951444268
SocialSupport,0.955990791
Corruption,0.168489456
Happiness,7.559899807
GDPCAPLOG,10.97993279
LifeChoiceFreedom,0.921336651
SocialSupport,0.942846596
Corruption,0.303728431
Happiness,7.504499912
GDPCAPLOG,10.77255917
LifeChoiceFreedom,0.948891878
SocialSupport,0.974669576
Corruption,0.711709738
Happiness,7.487999916
GDPCAPLOG,11.08780384
LifeChoiceFreedom,0.955750287
SocialSupport,0.952486575
Corruption,0.263218194
Happiness,7.448900223
GDPCAPLOG,10.81271172
LifeChoiceFreedom,0.908547819
SocialSupport,0.93913883
Corruption,0.364717126
Happiness,7.353499889
GDPCAPLOG,10.75879383
LifeChoiceFreedom,0.939144194
SocialSupport,0.926311195
Corruption,0.250880182
Happiness,7.504499912
GDPCAPLOG,10.77255917
LifeChoiceFreedom,0.948891878
SocialSupport,0.974669576
Corruption,0.711709738
Happiness,7.487999916
GDPCAPLOG,11.08780384
LifeChoiceFreedom,0.955750287
SocialSupport,0.952486575
Corruption,0.263218194
Happiness,7.448900223
GDPCAPLOG,10.81271172
LifeChoiceFreedom,0.908547819
SocialSupport,0.93913883
Corruption,0.364717126
Happiness,7.353499889
GDPCAPLOG,10.75879383
LifeChoiceFreedom,0.939144194
SocialSupport,0.926311195
Corruption,0.250880182
