Country,Happiness,GDPCAPLOG,LifeChoiceFreedom,SocialSupport,Corruption
Finland,7.808700085,10.63926697,0.949172199,0.954329729,0.195444584
Denmark,7.645599842,10.77400112,0.951444268,0.955990791,0.168489456
Switzerland,7.559899807,10.97993279,0.921336651,0.942846596,0.303728431
Iceland,7.504499912,10.77255917,0.948891878,0.974669576,0.711709738
Norway,7.487999916,11.08780384,0.955750287,0.952486575,0.263218194
Netherlands,7.448900223,10.81271172,0.908547819,0.93913883,0.364717126
Sweden,7.353499889,10.75879383,0.939144194,0.926311195,0.250880182
New Zealand,7.299600124,10.50094318,0.936217487,0.949118972,0.22113885
Austria,7.294199944,10.7428236,0.899989486,0.928045869,0.499954879
Luxembourg,7.237500191,11.45068073,0.90563643,0.906912208,0.367084295
Canada,7.23210001,10.69236851,0.933913231,0.927176654,0.390843362
Australia,7.222799778,10.72059631,0.915431738,0.944854617,0.41516912
United Kingdom,7.164500237,10.60013485,0.834743679,0.93668282,0.435915917
Israel,7.128600121,10.41752529,0.747580588,0.913571239,0.78085506
Costa Rica,7.121399879,9.658156395,0.934738934,0.901545942,0.786332428
Ireland,7.093699932,11.16097832,0.886982977,0.942081571,0.357184172
Germany,7.075799942,10.7328186,0.867371082,0.898874462,0.456422031
United States,6.939599991,10.92576885,0.842619538,0.914219022,0.699715316
Czech Republic,6.910900116,10.40416336,0.818537354,0.914430678,0.85844624
Belgium,6.863500118,10.6736393,0.813582063,0.911632538,0.612297952
United Arab Emirates,6.790800095,11.1099987,0.941345513,0.849181116,0.594502211
Malta,6.772799969,10.53383827,0.924911439,0.93037951,0.658547282
France,6.663799763,10.58422279,0.825467646,0.937103748,0.583521128
Mexico,6.465000153,9.797797203,0.858709276,0.838665426,0.806821585
Taiwan Province of China,6.45539999,10.77568531,0.77153033,0.894309103,0.73188293
Uruguay,6.440100193,9.948192596,0.892395437,0.92281127,0.635994136
Saudi Arabia,6.406499863,10.79781246,0.854191244,0.874067068,0.682619512
Spain,6.400899887,10.46292686,0.751989543,0.921125412,0.765859902
Guatemala,6.398900032,8.924805641,0.908147573,0.816621482,0.783237457
Italy,6.38740015,10.48183632,0.66465199,0.889878571,0.873404682
Singapore,6.377099991,11.39552116,0.926645339,0.910268962,0.109784193
Brazil,6.375599861,9.56643486,0.799804807,0.896723807,0.770601273
Slovenia,6.363399982,10.39232254,0.936142623,0.939575672,0.817071021
El Salvador,6.34829998,8.909075737,0.833805263,0.806092262,0.754319906
Kosovo,6.325200081,9.204429626,0.861535907,0.820726514,0.922328293
Panama,6.304800034,10.03423405,0.880366504,0.902094483,0.851588905
Slovakia,6.280600071,10.34774971,0.749952674,0.922493756,0.918096125
Uzbekistan,6.257599831,8.740371704,0.974998116,0.926595807,0.501497388
Chile,6.228499889,10.0320549,0.744896293,0.879713595,0.838239431
Bahrain,6.227300167,10.67638016,0.905855775,0.876342118,0.7393471
Lithuania,6.215499878,10.34362602,0.747381449,0.926107109,0.809583843
Trinidad and Tobago,6.191899776,10.26000214,0.857907116,0.91529417,0.912230611
Poland,6.186299801,10.26512432,0.862055779,0.874257445,0.686927021
Colombia,6.163400173,9.500369072,0.836179912,0.884440243,0.86457181
Cyprus,6.15899992,10.40570259,0.779858291,0.805996239,0.856271744
Nicaragua,6.13710022,8.493160248,0.863902867,0.857497036,0.665950119
Romania,6.123700142,10.107584,0.842823207,0.825161517,0.934300244
Kuwait,6.102099895,11.08982468,0.872366488,0.846475244,0.760849059
Mauritius,6.101299763,9.956786156,0.889534533,0.910357833,0.805343091
Kazakhstan,6.057899952,10.11465836,0.811601937,0.934744895,0.764490843
Estonia,6.021800041,10.34001732,0.87770915,0.934729993,0.623073816
Philippines,6.006000042,8.993545532,0.915463448,0.846730053,0.733634114
Hungary,6.000400066,10.24924374,0.718964577,0.921934128,0.892916501
