metric,value,axis
Corruption,1,10
Corruption,2,7
Corruption,3,6
Corruption,4,5
Corruption,5,4
Corruption,6,3
Corruption,7,2
Happiness,1,4
Happiness,2,5
Happiness,3,6
Happiness,4,7
Happiness,5,8
Happiness,6,8
Happiness,7,10
LifeChoiceFreedom,1,1
LifeChoiceFreedom,2,3
LifeChoiceFreedom,3,4
LifeChoiceFreedom,4,5
LifeChoiceFreedom,5,7
LifeChoiceFreedom,6,9
LifeChoiceFreedom,7,10
SocialSupport,1,1
SocialSupport,2,2
SocialSupport,3,3
SocialSupport,4,4
SocialSupport,5,5
SocialSupport,6,6
SocialSupport,7,8
Corruption,1,10
Corruption,2,7
Corruption,3,6
Corruption,4,5
Corruption,5,4
Corruption,6,3
Corruption,7,2
Happiness,1,4
Happiness,2,5
Happiness,3,6
Happiness,4,7
Happiness,5,8
Happiness,6,8
Happiness,7,10
LifeChoiceFreedom,1,1
LifeChoiceFreedom,2,3
LifeChoiceFreedom,3,4
LifeChoiceFreedom,4,5
LifeChoiceFreedom,5,7
LifeChoiceFreedom,6,9
LifeChoiceFreedom,7,10
SocialSupport,1,1
SocialSupport,2,2
SocialSupport,3,3
SocialSupport,4,4
SocialSupport,5,5
SocialSupport,6,6
SocialSupport,7,8
