Country,GDP,Population,Continent,LifeExpectancy
Aruba,,106766,North America,76.29
Africa Eastern and Southern,1326.66,677243299,Africa,64.01
Afghanistan,508.81,38928341,Asia,64.83
Africa Western and Central,1714.43,458803476,Africa,58.12
Angola,1895.77,32866268,Africa,61.15
Albania,5215.28,2837743,Europe,78.57
Andorra,,77265,Europe,
Arab World,5802.1,436080728,Asia,71.99
United Arab Emirates,,9890400,Asia,77.97
Argentina,8441.92,45376763,North America,76.67
Armenia,4267.45,2963234,Asia,75.09
North American Samoa,,55197,Oceania,
Antigua and Barbuda,14450,97928,North America,77.02
Australia,51812.15,25687041,Oceania,82.9
Austria,48105.36,8917205,Europe,81.79
Azerbaijan,4214.31,10110116,Europe,73.01
Burundi,274.01,11890781,Africa,61.58
Belgium,44594.38,11555997,Europe,81.75
Benin,1291.04,12123198,Africa,61.77
Burkina Faso,830.93,20903278,Africa,61.58
Bangladesh,1968.79,164689383,Asia,72.59
Bulgaria,9975.78,6927288,Europe,74.91
Bahrain,,1701583,Asia,77.29
"Bahamas, The",28607.9,393248,North America,73.92
Bosnia and Herzegovina,6031.56,3280815,Europe,77.4
Belarus,6411.23,9398861,Europe,74.23
Belize,4435.62,397621,North America,74.62
Bermuda,,63903,North America,81.87
Bolivia,3143.05,11673029,North America,71.51
Brazil,6796.84,212559409,South America,75.88
Barbados,15191.16,287371,North America,79.19
Brunei Darussalam,27466.34,437483,Asia,75.86
Bhutan,3122.38,771612,Asia,71.78
Botswana,6710.99,2351625,Africa,69.59
Central African Republic,476.85,4829764,Africa,53.28
Canada,43241.62,38005238,North America,82.05
Central Europe and the Baltics,16082.46,102246330,Europe,77.14
Switzerland,86601.56,8636896,Europe,83.7
Channel Islands,,173859,Asia,83.09
Chile,13231.7,19116209,North America,80.18
China,10500.4,1402112000,Asia,76.91
Cote d'Ivoire,2325.72,26378275,Africa,57.78
Cameroon,1499.37,26545864,Africa,59.29
"Congo, Dem. Rep.",556.81,89561404,Africa,60.68
"Congo, Rep.",1972.55,5518092,Africa,64.57
Colombia,5332.77,50882884,North America,77.29
Comoros,1402.6,869595,Africa,64.32
Cabo Verde,3064.27,555988,Africa,72.98
Costa Rica,12076.81,5094114,North America,80.28
Caribbean small states,9192.77,7442291,Africa,73.75
Cuba,,11326616,North America,78.8
Curacao,,155014,North America,
Cayman Islands,,65720,North America,
Cyprus,26623.8,1207361,Europe,80.98
Czech Republic,22762.2,10698896,Europe,79.13
Germany,45723.64,83240525,Europe,80.94
Djibouti,3425.5,988002,Africa,67.11
Dominica,6526.79,71991,North America,
Denmark,60908.84,5831404,Europe,81.2
Dominican Republic,7268.2,10847904,North America,74.08
Algeria,3310.39,43851043,Africa,76.88
East Asia & Pacific (excluding high income),8291.75,2105003391,Asia,75.4
Early-demographic dividend,3254.97,3332105361,,70.7
East Asia & Pacific,,2352037717,Asia,76.26
